RecordId,RecordTimeSeconds,RecordTimeNanoSeconds,OrientationX,OrientationY,OrientationZ,OrientationW,AngularAccelerationX,AngularAccelerationY,AngularAccelerationZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,Roll,Pitch,Yaw,DeltaT,Velocityx,Velocityy,Velocityz
90,1515079475,805688806,0.003076779,-0.006114141,-0.149522915,-0.988734603,0.011092005,0.01660502,0.006142049,0.246373564,0.106582932,-9.809556961,-0.243862369,0.745474864,17.19737969,10211643,0.186078348,0.088854961,-8.972826097
91,1515079475,815908132,0.003035517,-0.006197556,-0.14961125,-0.988720834,0.011645854,0.01425284,0.005003222,0.200623661,0.164265186,-10.06047153,-0.237690471,0.754240527,17.20764588,10219326,0.188128587,0.090533641,-9.075637336
92,1515079475,826098707,0.003003884,-0.006279673,-0.149701908,-0.988706708,0.010747507,0.018326323,0.005131991,0.027475433,0.156785578,-9.732899666,-0.232628527,0.763023852,17.21817619,10190575,0.188408578,0.092131376,-9.17482118
93,1515079475,836270448,0.002975789,-0.006402581,-0.149792701,-0.988692224,0.009670936,0.027594909,0.006295912,0.082092099,-0.036567591,-9.976140022,-0.227265605,0.776488549,17.22871979,10171741,0.189243597,0.09175942,-9.276295892
94,1515079475,846537495,0.002950451,-0.006550379,-0.149881124,-0.988677979,0.009623697,0.028933648,0.005900615,0.261963129,-0.073301539,-9.976430893,-0.221787181,0.792819217,17.23898995,10267047,0.191933185,0.09100683,-9.378724377
95,1515079475,856748620,0.0029309,-0.006675965,-0.149972424,-0.988663316,0.006379828,0.023357159,0.004871147,0.174946353,-0.180080324,-10.04138374,-0.217340692,0.806732389,17.2495892,10211125,0.193719584,0.089168007,-9.481258202
96,1515079475,867013055,0.002912713,-0.006755311,-0.150062725,-0.98864907,0.004934483,0.014115884,0.004619922,0.057740517,-0.295149058,-9.899580956,-0.213842075,0.815429166,17.26007146,10264435,0.194312258,0.086138469,-9.582871807
97,1515079475,877221508,0.002901206,-0.006826594,-0.150154918,-0.988634706,0.002864341,0.015710101,0.005771304,0.156769514,-0.199653387,-9.963731766,-0.211235913,0.823327168,17.27077071,10208453,0.195912632,0.084100316,-9.684586094
98,1515079475,887451059,0.002911826,-0.006917212,-0.150243878,-0.98862046,1.49925E-05,0.021243563,0.005166213,0.250903845,-0.225875527,-10.03518677,-0.210805044,0.833795495,17.28107612,10229551,0.198479266,0.081789711,-9.787241549
99,1515079475,897650799,0.002930938,-0.007044173,-0.150329724,-0.988606513,3.02682E-05,0.028247546,0.004332315,0.156876892,-0.274143666,-9.891220093,-0.210711088,0.848526811,17.29101752,10199740,0.200079369,0.078993517,-9.888129422
100,1515079475,907865523,0.002962195,-0.007163384,-0.150417194,-0.988592267,-0.003036004,0.022493213,0.004620399,0.188656271,-0.127263889,-9.921221733,-0.212122846,0.862589731,17.30113644,10214724,0.202006441,0.077693552,-9.989471964
101,1515079475,918069324,0.002993552,-0.007239672,-0.150507674,-0.988577843,-0.003292298,0.012992607,0.004887349,0.33161822,-0.158017814,-9.90042305,-0.214280944,0.871792621,17.31160209,10203801,0.205390207,0.076081169,-10.09049391
102,1515079475,928320801,0.003022424,-0.007277381,-0.150596276,-0.988563955,-0.004148799,0.007407481,0.005638234,0.243898392,-0.145728931,-9.921913147,-0.216823199,0.876581939,17.32184995,10251477,0.207890526,0.074587232,-10.19220818
103,1515079475,938570906,0.003058387,-0.007330231,-0.150687486,-0.98854959,-0.005019807,0.015420565,0.004482088,0.07948488,-0.051108822,-9.88924408,-0.219904205,0.88321022,17.33239578,10250105,0.208705254,0.074063362,-10.29357397
104,1515079475,948800191,0.003109864,-0.00743246,-0.150780261,-0.98853451,-0.007161465,0.026440673,0.005585877,0.154789507,-0.137304887,-9.860773087,-0.22388705,0.895701196,17.34311089,10229285,0.21028864,0.072658831,-10.39444262
105,1515079475,959036708,0.003175938,-0.007576523,-0.15087302,-0.988519073,-0.009043628,0.03010474,0.00635526,0.360697746,-0.016397078,-10.05538845,-0.22879819,0.913184494,17.3538133,10236517,0.213980929,0.072490982,-10.49737478
106,1515079475,964169783,0.003233949,-0.007664863,-0.150967494,-0.988503754,-0.009930316,0.016473899,0.00571884,0.293212831,-0.01822477,-9.899913788,-0.23375498,0.924217234,17.36471757,5133075,0.215486012,0.072397433,-10.54819178
107,1515079475,974346811,0.003278962,-0.007699888,-0.151064485,-0.988488495,-0.00822617,0.006551952,0.006586092,0.207237512,-0.031900145,-9.845247269,-0.238157486,0.928986939,17.37592286,10177028,0.217595074,0.072072784,-10.64838714
108,1515079475,984535969,0.003319753,-0.007715332,-0.151162505,-0.988473237,-0.007654603,0.005654013,0.006612736,0.333190739,0.013469711,-9.849365234,-0.242418874,0.931466623,17.38725036,10189158,0.220990007,0.072210029,-10.74874387
109,1515079475,994746344,0.003372884,-0.007776085,-0.151252076,-0.988458931,-0.008608695,0.014486032,0.0048914,0.340976685,0.026527375,-9.781859398,-0.247300626,0.939291406,17.39758986,10210375,0.224471507,0.072480884,-10.84862033
110,1515079476,4961104,0.003437741,-0.007875523,-0.15134649,-0.988443434,-0.010753894,0.023844946,0.00685479,0.284998655,-0.024334434,-9.823683739,-0.252833846,0.951703589,17.40847949,10214760,0.2273827,0.072232313,-10.9489669
111,1515079476,15150667,0.003505059,-0.007989856,-0.151443675,-0.98842746,-0.010396166,0.024854049,0.006169954,0.467985481,0.030605154,-9.775829315,-0.258382327,0.96584775,17.41968954,10189563,0.232151268,0.072544166,-11.04857833
112,1515079476,25389663,0.003574685,-0.008069416,-0.15153186,-0.988412976,-0.011838482,0.0145401,0.004380924,0.711836159,0.151745439,-9.893500328,-0.264802238,0.976091566,17.42984975,10238996,0.239439755,0.074097887,-11.14987784
113,1515079476,35591875,0.003628994,-0.008068809,-0.151618689,-0.988399506,-0.01009221,-0.001694359,0.004893075,0.638092697,0.084314004,-9.698652267,-0.270879107,0.97698971,17.43986643,10202212,0.245949712,0.074958077,-11.24882554
